__KEY_location;id_u4;name_u2
1;;
1;TUxBQjlERTIwNDha;9 de Julio
1;TUxBQk1BQzkwODda;Macrocentro
1;TUxBQk1BTDQ3MjFa;Malvinas Argentinas
1;TUxBQk1BUjc5MjAxOQ;Martín Coronado
1;TUxBQk1BUjExNDJa;Martínez
1;TUxBQk1BUjQ4OTNa;Marcos Juárez
1;TUxBQk1BVDMwMDJa;Mataderos
1;TUxBQk1PTjE2OTBa;Monte Castro
1;TUxBQk1PTjM0MDla;Monte Grande
1;TUxBQk1PTjUxOTJa;Monserrat
1;TUxBQk1PUjgwNTJa;Morón
1;TUxBQk1PUjM3MTRa;Moreno
1;TUxBQk1V0TI4Njha;Muñiz
1;TUxBQk5BVjY5MzNa;Navarro
1;TUxBQk5PUjM5NTU2Mg;Nordelta Bahía Grande
1;TUxBQk5PUjQ5Mzg4NA;Nordelta
1;TUxBQk7a0TcwOTRa;Núñez
1;TUxBQk9MSTgzODNa;Olivos
1;TUxBQk9UUjI3MjVa;Otros Barrios
1;TUxBQk9UUjQxNDRa;Otros Barrios
1;TUxBQk9UUjQyMjJa;Otros Barrios
1;TUxBQk9UUjU1ODFa;Otros Barrios
1;TUxBQkdFTjc0OTVa;General Paz
1;TUxBQkdFTjQyNjNa;General Las Heras
1;TUxBQkdFUjg1MTBa;Gerli
1;TUxBQkdPRDUzOTha;Godoy Cruz
1;TUxBQkdSRTEzMjJa;Gregorio de Laferrere
1;TUxBQkdVQTY5MTBa;Gualeguaychú
1;TUxBQkdVRTQzMjRa;Guernica
1;TUxBQkFDQTMyNzNa;Acassuso
1;TUxBQkFHUjk3NjJa;Agronomía
1;TUxBQkFMTTMwNTBa;Almagro
1;TUxBQkFMVDk4OTJa;Alta Córdoba
1;TUxBQkFOVDQxMTVa;Antartida Argentina
1;TUxBQkFSQTUxNDha;Arana
1;TUxBQkFSTTM2MzFa;Armstrong
1;TUxBQkFSUjQxMTJa;Arrecifes
1;TUxBQkFWRTgzNjFa;Avellaneda
1;TUxBQkhBRTM1MDNa;Haedo
1;TUxBQkHRQTc5MjZa;Añatuya
1;TUxBQkhVUjY1Mzla;Hurlingham
1;TUxBQkJBTDMxMDZa;Balvanera
1;TUxBQkJBTjcxMTla;Banfield
1;TUxBQkJBTjg3NDExMA;Banco Provincia
1;TUxBQkJBUjcxNDUwNw;Barrancas de San Isidro
1;TUxBQkJBUjcxNjha;Barrio Parque Gral San Martín
1;TUxBQkJBUjEzMDg1NA;Belgrano
1;TUxBQkJBUjg4NTla;Baradero
1;TUxBQkJBUjQwMDQ3MA;Barrio Norte
1;TUxBQkJFQzE1ODA1Mg;Beccar Plaza
1;TUxBQkJFQzkyNDYzNA;Beccar Central
1;TUxBQkJFTDcyNTJa;Belgrano
1;TUxBQkJFTDk1OTRa;Bella Vista
1;TUxBQkJFTDU5NzNa;Belgrano R
1;TUxBQkJFTDY3NDda;Belén de Escobar
