__KEY_location;id_u6;name_u4
1;TUxBUE1FTmE5OWQ4;Mendoza
1;TUxBUE1JU3MzNjIx;Misiones
1;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
1;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
1;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
1;TUxBUENBUGw3M2E1;Capital Federal
1;TUxBUENIQW8xMTNhOA;Chaco
1;TUxBUENIVXQxNDM1MQ;Chubut
1;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
1;TUxBUENPUmFkZGIw;Córdoba
1;TUxBUENPUnM5MjI0;Corrientes
1;TUxBUEpVSnk3YmUz;Jujuy
1;TUxBUEVOVHMzNTdm;Entre Ríos
1;TUxBUExBWmE1OWMy;La Pampa
1;TUxBUFLNT29iZmZm;Río Negro
1;TUxBUFNBTm9lOTlk;Santiago Del Estero
1;TUxBUFNBTmU5Nzk2;Santa Fe
1;TUxBUFNBTno3ZmY5;Santa Cruz
1;TUxBUFpPTmFpbnRl;Buenos Aires Interior
1;TUxBUFRJRVoxM2M5YQ;Tierra Del Fuego
1;TUxBUFRVQ244NmM3;Tucumán
2;TUxBUE1FTmE5OWQ4;Mendoza
2;TUxBUE1JU3MzNjIx;Misiones
2;TUxBUE5FVW4xMzMzNQ;Neuquén
2;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
2;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
2;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
2;TUxBUENBUGw3M2E1;Capital Federal
2;TUxBUENIQW8xMTNhOA;Chaco
2;TUxBUENIVXQxNDM1MQ;Chubut
2;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
2;TUxBUENPUmFkZGIw;Córdoba
2;TUxBUENPUnM5MjI0;Corrientes
2;TUxBUEVOVHMzNTdm;Entre Ríos
2;TUxBUExBWmE1OWMy;La Pampa
2;TUxBUEZPUmE1OTk5;Formosa
2;TUxBUFLNT29iZmZm;Río Negro
2;TUxBUFNBTGFjMTJi;Salta
2;TUxBUFNBTmU5Nzk2;Santa Fe
2;TUxBUFNBTnM0ZTcz;San Luis
2;TUxBUFpPTmFpbnRl;Buenos Aires Interior
2;TUxBUFRVQ244NmM3;Tucumán
3;TUxBUE1FTmE5OWQ4;Mendoza
3;TUxBUE1JU3MzNjIx;Misiones
3;TUxBUE5FVW4xMzMzNQ;Neuquén
3;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
3;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
3;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
3;TUxBUENBUGw3M2E1;Capital Federal
3;TUxBUENIQW8xMTNhOA;Chaco
3;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
3;TUxBUENPUmFkZGIw;Córdoba
3;TUxBUENPUnM5MjI0;Corrientes
3;TUxBUEVOVHMzNTdm;Entre Ríos
3;TUxBUExBWmE1OWMy;La Pampa
3;TUxBUEZPUmE1OTk5;Formosa
3;TUxBUFLNT29iZmZm;Río Negro
3;TUxBUFNBTGFjMTJi;Salta
3;TUxBUFNBTm5lYjU4;San Juan
3;TUxBUFNBTm9lOTlk;Santiago Del Estero
3;TUxBUFNBTmU5Nzk2;Santa Fe
3;TUxBUFNBTnM0ZTcz;San Luis
3;TUxBUFNBTno3ZmY5;Santa Cruz
3;TUxBUFpPTmFpbnRl;Buenos Aires Interior
3;TUxBUFRVQ244NmM3;Tucumán
4;TUxBUE1FTmE5OWQ4;Mendoza
4;TUxBUE1JU3MzNjIx;Misiones
4;TUxBUE5FVW4xMzMzNQ;Neuquén
